barn_id,alder,gave_ønske
barn_1,7,Bil
barn_2,16,Spill
barn_3,10,Bok
barn_4,9,Tegnesaker
barn_5,5,Lego
barn_6,5,Bok
barn_7,2,Bok
barn_8,14,Tegnesaker
barn_9,9,Bok
barn_10,10,Spill
barn_11,1,kikkert
barn_12,17,Bok
barn_13,13,Lekefigur
barn_14,5,Sykkel
barn_15,5,Spill
barn_16,5,Sykkel
barn_17,6,Kosedyr
barn_18,8,Sykkel
barn_19,7,Lekefigur
barn_20,6,Spill
barn_21,9,Kosedyr
barn_22,4,Lekefigur
barn_23,6,Bok
barn_24,6,Lekefigur
barn_25,7,Bok
barn_26,12,Lekefigur
barn_27,5,Lego
barn_28,8,Sykkel
barn_29,8,Bok
barn_30,2,Spill
barn_31,9,Tegnesaker
barn_32,5,Kosedyr
barn_33,2,Lekefigur
barn_34,16,Sykkel
barn_35,17,Tegnesaker
barn_36,12,Bok
barn_37,6,Kosedyr
barn_38,3,Lego
barn_39,9,Spill
barn_40,7,Lego
barn_41,4,Lekefigur
barn_42,8,Tegnesaker
barn_43,1,Lego
barn_44,15,Tegnesaker
barn_45,5,Spill
barn_46,9,Bok
barn_47,6,Bok
barn_48,8,Bok
barn_49,8,Tegnesaker
barn_50,5,Lekefigur
barn_51,17,Kosedyr
barn_52,11,Lekefigur
barn_53,16,Lego
barn_54,15,Lekefigur
barn_55,9,Sykkel
barn_56,15,Tegnesaker
barn_57,3,Spill
barn_58,5,Spill
barn_59,2,Spill
barn_60,6,Kosedyr
barn_61,7,Bok
barn_62,6,Kosedyr
barn_63,13,Sykkel
barn_64,6,Spill
barn_65,6,Sykkel
barn_66,8,Lego
barn_67,4,kikkert
barn_68,12,skøyter
barn_69,3,Spill
barn_70,17,ski
barn_71,11,Tegnesaker
barn_72,5,Lego
barn_73,1,kjelke
barn_74,13,Bok
barn_75,10,Lego
barn_76,10,Lego
barn_77,11,Spill
barn_78,2,Bok
barn_79,6,kikkert
barn_80,4,kikkert
barn_81,14,Bil
barn_82,9,Bok
barn_83,6,ski
barn_84,2,Kosedyr
barn_85,6,ski
barn_86,6,Kosedyr
barn_87,10,Sykkel
barn_88,9,Tegnesaker
barn_89,14,ski
barn_90,7,Sykkel
barn_91,4,Tegnesaker
barn_92,10,Sykkel
barn_93,11,kostyme
barn_94,8,Tegnesaker
barn_95,11,Spill
barn_96,8,Tegnesaker
barn_97,8,Kosedyr
barn_98,7,Tegnesaker
barn_99,1,Spill
barn_100,3,rulleskøyter
barn_101,1,Spill
barn_102,9,Lego
barn_103,6,ski
barn_104,8,Bok
barn_105,15,Spill
barn_106,5,Bil
barn_107,7,Lego
barn_108,11,Lego
barn_109,5,Lekefigur
barn_110,3,kikkert
barn_111,6,Kosedyr
barn_112,5,Kosedyr
barn_113,16,Kosedyr
barn_114,12,Lego
barn_115,9,Bok
barn_116,14,Spill
barn_117,12,Spill
barn_118,5,Tegnesaker
barn_119,15,Bok
barn_120,8,Lego
barn_121,12,kostyme
barn_122,15,Bok
barn_123,6,Sykkel
barn_124,3,Kosedyr
barn_125,5,Spill
barn_126,7,Kosedyr
barn_127,13,Kosedyr
barn_128,14,Bil
barn_129,1,kjelke
barn_130,8,Bok
barn_131,7,Lego
barn_132,5,Bok
barn_133,4,Sykkel
barn_134,6,Bok
barn_135,16,Spill
barn_136,6,Bok
barn_137,8,Kosedyr
barn_138,9,Lego
barn_139,6,kostyme
barn_140,17,kjelke
barn_141,16,Tegnesaker
barn_142,5,Lego
barn_143,8,Lego
barn_144,6,Lego
barn_145,6,kostyme
barn_146,1,Spill
barn_147,9,Kosedyr
barn_148,8,kostyme
barn_149,2,Bok
barn_150,6,Spill
barn_151,15,Kosedyr
barn_152,5,Lego
barn_153,4,Bok
barn_154,8,Kosedyr
barn_155,17,Kosedyr
barn_156,5,Kosedyr
barn_157,9,Lego
barn_158,11,ski
barn_159,5,Spill
barn_160,10,Lego
barn_161,6,kostyme
barn_162,9,Bok
barn_163,9,Lego
